code,description,system,severity
P0001,Fuel Volume Regulator Control Circuit/Open,ENGINE,MEDIUM
P0002,Fuel Volume Regulator Control Circuit Range/Performance,ENGINE,MEDIUM
P0003,Fuel Volume Regulator Control Circuit Low,ENGINE,MEDIUM
P0004,Fuel Volume Regulator Control Circuit High,ENGINE,MEDIUM
P0005,Fuel Shutoff Valve A Control Circuit/Open,ENGINE,MEDIUM
P0006,Fuel Shutoff Valve A Control Circuit Low,ENGINE,MEDIUM
P0007,Fuel Shutoff Valve A Control Circuit High,ENGINE,MEDIUM
P0008,Engine Position System Performance Bank 1,ENGINE,HIGH
P0009,Engine Position System Performance Bank 2,ENGINE,HIGH
P0010,Intake Camshaft Position Actuator Circuit Bank 1,ENGINE,MEDIUM
P0011,Intake Camshaft Position Timing Over-Advanced Bank 1,ENGINE,MEDIUM
P0012,Intake Camshaft Position Timing Over-Retarded Bank 1,ENGINE,MEDIUM
P0013,Exhaust Camshaft Position Actuator Circuit Bank 1,ENGINE,MEDIUM
P0014,Exhaust Camshaft Position Timing Over-Advanced Bank 1,ENGINE,MEDIUM
P0015,Exhaust Camshaft Position Timing Over-Retarded Bank 1,ENGINE,MEDIUM
P0016,Crankshaft Position Camshaft Position Correlation Bank 1 Sensor A,ENGINE,HIGH
P0017,Crankshaft Position Camshaft Position Correlation Bank 1 Sensor B,ENGINE,HIGH
P0018,Crankshaft Position Camshaft Position Correlation Bank 2 Sensor A,ENGINE,HIGH
P0019,Crankshaft Position Camshaft Position Correlation Bank 2 Sensor B,ENGINE,HIGH
P0020,Intake Camshaft Position Actuator Circuit Bank 2,ENGINE,MEDIUM
P0021,Intake Camshaft Position Timing Over-Advanced Bank 2,ENGINE,MEDIUM
P0022,Intake Camshaft Position Timing Over-Retarded Bank 2,ENGINE,MEDIUM
P0023,Exhaust Camshaft Position Actuator Circuit Bank 2,ENGINE,MEDIUM
P0024,Exhaust Camshaft Position Timing Over-Advanced Bank 2,ENGINE,MEDIUM
P0025,Exhaust Camshaft Position Timing Over-Retarded Bank 2,ENGINE,MEDIUM
P0030,HO2S Heater Control Circuit Bank 1 Sensor 1,ENGINE,MEDIUM
P0031,HO2S Heater Control Circuit Low Bank 1 Sensor 1,ENGINE,MEDIUM
P0032,HO2S Heater Control Circuit High Bank 1 Sensor 1,ENGINE,MEDIUM
P0033,Turbo Charger Bypass Valve Control Circuit,ENGINE,MEDIUM
P0034,Turbo Charger Bypass Valve Control Circuit Low,ENGINE,MEDIUM
P0035,Turbo Charger Bypass Valve Control Circuit High,ENGINE,MEDIUM
P0036,HO2S Heater Control Circuit Bank 1 Sensor 2,ENGINE,MEDIUM
P0037,HO2S Heater Control Circuit Low Bank 1 Sensor 2,ENGINE,MEDIUM
P0038,HO2S Heater Control Circuit High Bank 1 Sensor 2,ENGINE,MEDIUM
