code,system,manufacturer,description,possible_causes,severity
P1000,P,NISSAN,System Readiness Test Not Complete,Drive cycle not completed; Battery disconnected recently; ECU reset,LOW
P1100,P,NISSAN,Mass Air Flow Sensor Circuit Intermittent,MAF sensor; Wiring; Connector; Air filter dirty; ECU,MEDIUM
P1105,P,NISSAN,MAP/BARO Sensor Circuit,MAP sensor; Wiring; Vacuum leak; ECU,MEDIUM
P1110,P,NISSAN,Intake Valve Timing Control Position Sensor (Bank 1),Cam position sensor; Wiring; VTC system; ECU,HIGH
P1111,P,NISSAN,Intake Valve Timing Control Range/Performance (Bank 1),VTC solenoid; Oil pressure; Timing chain; Sensor,HIGH
P1120,P,NISSAN,Throttle Position Sensor Circuit Low Input,TPS sensor; Wiring; Throttle body; ECU,MEDIUM
P1121,P,NISSAN,Throttle Position Sensor Range/Performance,TPS sensor reading incorrect; Throttle body; Wiring,MEDIUM
P1122,P,NISSAN,Throttle Position Sensor Circuit High Input,TPS sensor; Wiring short to power; Sensor fault; ECU,MEDIUM
P1125,P,NISSAN,Throttle Control Motor Circuit,Electronic throttle motor; Wiring; Throttle body; ECU,HIGH
P1126,P,NISSAN,Thermostat Function,Thermostat stuck open or closed; ECT sensor; Coolant flow,MEDIUM
P1130,P,NISSAN,Swirl Control Valve Control Solenoid Circuit,SCV solenoid; Wiring; Connector; ECU driver,MEDIUM
P1131,P,NISSAN,Swirl Control Valve Control Position Sensor Circuit,SCV position sensor; Wiring; Potentiometer; Valve,MEDIUM
P1135,P,NISSAN,Intake Valve Timing Control Position Sensor (Bank 2),Cam position sensor; Wiring; VTC system; ECU,HIGH
P1136,P,NISSAN,Intake Valve Timing Control Range/Performance (Bank 2),VTC solenoid; Oil pressure; Timing chain; Sensor,HIGH
P1140,P,NISSAN,Intake Valve Timing Control Solenoid (Bank 1),VTC solenoid; Wiring; Oil pressure; ECU driver,HIGH
P1145,P,NISSAN,Intake Valve Timing Control Solenoid (Bank 2),VTC solenoid; Wiring; Oil pressure; ECU driver,HIGH
P1148,P,NISSAN,Closed Loop Control Function (Bank 1),O2 sensor; Fuel system; ECU software; Sensors,MEDIUM
P1168,P,NISSAN,Closed Loop Control Function (Bank 2),O2 sensor; Fuel system; ECU software; Sensors,MEDIUM
P1200,P,NISSAN,Fuel Pump Relay Control Circuit,Fuel pump relay; Wiring; Fuse; ECU control,HIGH
P1210,P,NISSAN,Traction Control System Signal,TCS communication; ABS module; ECU; CAN bus,MEDIUM
P1220,P,NISSAN,Fuel Pump Control Module,Fuel pump control module; Wiring; Ground; Relay,HIGH
