code,description,system,severity
B0001,Driver Airbag Circuit Open,SRS,CRITICAL
B0002,Driver Airbag Circuit Short to Ground,SRS,CRITICAL
B0003,Driver Airbag Circuit Short to Battery,SRS,CRITICAL
B0004,Driver Airbag Circuit Resistance Out of Range,SRS,CRITICAL
B0005,Passenger Airbag Circuit Open,SRS,CRITICAL
B0006,Passenger Airbag Circuit Short to Ground,SRS,CRITICAL
B0007,Passenger Airbag Circuit Short to Battery,SRS,CRITICAL
B0008,Passenger Airbag Circuit Resistance Out of Range,SRS,CRITICAL
B0010,Driver Side Airbag Circuit Malfunction,SRS,CRITICAL
B0011,Driver Side Airbag Squib Circuit Low Resistance,SRS,CRITICAL
B0012,Driver Side Airbag Squib Circuit High Resistance,SRS,CRITICAL
B0013,Driver Side Airbag Squib Circuit Short to Ground,SRS,CRITICAL
B0014,Driver Side Airbag Squib Circuit Short to Battery,SRS,CRITICAL
B0015,Passenger Side Airbag Circuit Malfunction,SRS,CRITICAL
B0016,Passenger Side Airbag Squib Circuit Low Resistance,SRS,CRITICAL
B0017,Passenger Side Airbag Squib Circuit High Resistance,SRS,CRITICAL
B0018,Passenger Side Airbag Squib Circuit Short to Ground,SRS,CRITICAL
B0019,Passenger Side Airbag Squib Circuit Short to Battery,SRS,CRITICAL
B0020,Left Front Side Airbag Circuit Malfunction,SRS,CRITICAL
B0021,Right Front Side Airbag Circuit Malfunction,SRS,CRITICAL
B0022,Left Rear Side Airbag Circuit Malfunction,SRS,CRITICAL
B0023,Right Rear Side Airbag Circuit Malfunction,SRS,CRITICAL
B0024,Curtain Airbag Circuit Malfunction,SRS,CRITICAL
B0025,Knee Airbag Circuit Malfunction,SRS,CRITICAL
B0030,Driver Seat Belt Pretensioner Circuit Malfunction,SRS,HIGH
B0031,Driver Seat Belt Pretensioner Circuit Open,SRS,HIGH
B0032,Driver Seat Belt Pretensioner Circuit Short to Ground,SRS,HIGH
