code,system,manufacturer,description,possible_causes,severity
P1000,P,VW,System Readiness Test Not Complete,Drive cycle incomplete; Battery disconnect; ECU reset,LOW
P1011,P,VW,Intake Camshaft Position Actuator Circuit (Bank 1),Camshaft adjuster; Oil pressure; Solenoid; Wiring,HIGH
P1012,P,VW,Intake Camshaft Position Actuator Performance (Bank 1),Oil sludge; Solenoid valve; Chain stretch; Sensor,HIGH
P1013,P,VW,Exhaust Camshaft Position Actuator Circuit (Bank 1),Camshaft adjuster; Oil pressure; Solenoid; Wiring,HIGH
P1014,P,VW,Exhaust Camshaft Position Actuator Performance (Bank 1),Oil sludge; Solenoid valve; Chain stretch; Sensor,HIGH
P1015,P,VW,Intake Camshaft Position Actuator Circuit (Bank 2),Camshaft adjuster; Oil pressure; Solenoid; Wiring,HIGH
P1016,P,VW,Intake Camshaft Position Actuator Performance (Bank 2),Oil sludge; Solenoid valve; Chain stretch; Sensor,HIGH
P1017,P,VW,Exhaust Camshaft Position Actuator Circuit (Bank 2),Camshaft adjuster; Oil pressure; Solenoid; Wiring,HIGH
P1018,P,VW,Exhaust Camshaft Position Actuator Performance (Bank 2),Oil sludge; Solenoid valve; Chain stretch; Sensor,HIGH
P1020,P,VW,Camshaft Position Sensor A Circuit (Bank 2),CMP sensor; Wiring; Connector; Timing; ECU,HIGH
P1021,P,VW,Camshaft Position Sensor A Range/Performance (Bank 2),Sensor; Timing chain; Reluctor wheel; Wiring,HIGH
P1025,P,VW,Camshaft Position Sensor B Circuit (Bank 2),Exhaust CMP sensor; Wiring; Connector; ECU,HIGH
P1026,P,VW,Camshaft Position Sensor B Range/Performance (Bank 2),Sensor; Timing; Reluctor; Wiring,HIGH
P1090,P,VW,Long Term Fuel Trim 1 System Too Lean (Bank 1),Vacuum leak; MAF sensor; Fuel pressure; Injector,MEDIUM
P1091,P,VW,Long Term Fuel Trim 1 System Too Rich (Bank 1),Injector leak; Fuel pressure; MAF; O2 sensor,MEDIUM
P1092,P,VW,Long Term Fuel Trim 1 System Too Lean (Bank 2),Vacuum leak; MAF sensor; Fuel pressure; Injector,MEDIUM
P1093,P,VW,Long Term Fuel Trim 1 System Too Rich (Bank 2),Injector leak; Fuel pressure; MAF; O2 sensor,MEDIUM
P1100,P,VW,O2 Sensor Heating Circuit (Bank 1 Sensor 1),O2 heater; Relay; Fuse; Wiring; ECU,MEDIUM
P1101,P,VW,O2 Sensor Heating Circuit (Bank 1 Sensor 2),O2 heater; Relay; Fuse; Wiring; ECU,MEDIUM
P1102,P,VW,O2 Sensor Heating Circuit (Bank 2 Sensor 1),O2 heater; Relay; Fuse; Wiring; ECU,MEDIUM
P1103,P,VW,O2 Sensor Heating Circuit (Bank 2 Sensor 2),O2 heater; Relay; Fuse; Wiring; ECU,MEDIUM
P1105,P,VW,Manifold Absolute Pressure Sensor Circuit,MAP sensor; Wiring; Vacuum leak; ECU,MEDIUM
P1106,P,VW,Manifold Absolute Pressure Sensor Range/Performance,MAP sensor contaminated; Vacuum leak; Sensor fault,MEDIUM
P1110,P,VW,Intake Air Temperature Sensor Circuit,IAT sensor; Wiring; Connector; MAF sensor,LOW
P1111,P,VW,Intake Air Temperature Sensor Range/Performance,IAT sensor reading incorrect; Contamination; Sensor,LOW
P1115,P,VW,Engine Coolant Temperature Circuit,ECT sensor; Wiring; Thermostat; Connector,MEDIUM
P1116,P,VW,Engine Coolant Temperature Range/Performance,ECT sensor; Thermostat stuck; Coolant level; Wiring,MEDIUM
P1120,P,VW,Throttle Position Sensor Circuit,TPS sensor; Wiring; Throttle body; ECU,MEDIUM
P1121,P,VW,Throttle Position Sensor Range/Performance,TPS sensor; Throttle body dirty; Calibration; Wiring,MEDIUM
P1125,P,VW,Accelerator Pedal Position Sensor A Circuit,APP sensor; Wiring; Connector; ECU,HIGH
P1126,P,VW,Accelerator Pedal Position Sensor A Range/Performance,APP sensor calibration; Sensor fault; Wiring,HIGH
P1127,P,VW,Accelerator Pedal Position Sensor B Circuit,APP sensor 2; Wiring; Connector; ECU,HIGH
P1128,P,VW,Accelerator Pedal Position Sensor B Range/Performance,APP sensor 2 calibration; Sensor fault; Wiring,HIGH
P1130,P,VW,Throttle Actuator Control Motor Circuit,Electronic throttle motor; Wiring; Throttle body; ECU,HIGH
P1131,P,VW,Throttle Actuator Position Sensor Circuit,TPS sensor 1; Wiring; Throttle body; Calibration,HIGH
P1132,P,VW,Throttle Actuator Position Sensor 2 Circuit,TPS sensor 2; Wiring; Throttle body; Calibration,HIGH
P1133,P,VW,Throttle Actuator Control Range/Performance,Throttle body dirty; Motor fault; Carbon buildup; Adaptation,MEDIUM
P1135,P,VW,Throttle Position Sensor Correlation,TPS 1 vs TPS 2 mismatch; Sensor fault; Wiring; ECU,HIGH
P1136,P,VW,Long Term Fuel Trim Additive (Bank 1),Fuel system adaptation; MAF; Injectors; O2 sensors,MEDIUM
P1137,P,VW,Long Term Fuel Trim Additive (Bank 2),Fuel system adaptation; MAF; Injectors; O2 sensors,MEDIUM
P1138,P,VW,Long Term Fuel Trim Multiplicative (Bank 1),Fuel system; MAF sensor; Injectors; Fuel pressure,MEDIUM
P1139,P,VW,Long Term Fuel Trim Multiplicative (Bank 2),Fuel system; MAF sensor; Injectors; Fuel pressure,MEDIUM
P1140,P,VW,Load Calculation Cross Check,MAF vs calculated load; Throttle position; Sensors,MEDIUM
P1141,P,VW,Load Calculation Plausibility,MAF contaminated; Vacuum leak; Throttle; Boost leak,MEDIUM
P1145,P,VW,Charge Pressure Control Range/Performance,Wastegate; N75 valve; Boost leak; Turbo,HIGH
P1146,P,VW,Charge Pressure Upper Limit Exceeded,Wastegate stuck; N75 valve; Overboost; Hose off,HIGH
P1147,P,VW,Charge Pressure Not Reached,Boost leak; Wastegate open; Turbo worn; N75 valve,HIGH
P1148,P,VW,Charge Pressure Control Valve (N75) Circuit,N75 valve; Wiring; Connector; ECU driver,MEDIUM
